ISO 8601 Date Time,Top of Conservation (ac-ft),Top of Conservation (ac-ft) notes,Storage (ac-ft),Storage (ac-ft) notes,Elevation (ft),Elevation (ft) notes,Inflow (cfs),Inflow (cfs) notes,Outflow (cfs),Outflow (cfs) notes, Precip @ Dam (in), Precip @ Dam (in) notes,Gross Pool,Gross Pool(elev)
2020-03-06T24:00:00-08:00,454228.80,0,280500.00,0,520.33,0,43.00,0,299.00,0,0.00,0,520500.00,578.00
2020-03-07T24:00:00-08:00,457110.16,0,280155.00,0,520.23,0,62.00,0,227.00,0,0.00,0,520500.00,578.00
2020-03-08T24:00:00-07:00,459991.51,0,279743.00,0,520.11,0,49.00,0,241.00,0,0.00,0,520500.00,578.00
2020-03-09T24:00:00-07:00,462872.87,0,279090.00,0,519.92,0,36.00,0,348.00,0,0.00,0,520500.00,578.00
2020-03-10T24:00:00-07:00,465754.22,0,278508.00,0,519.75,0,66.00,0,349.00,0,0.09,0,520500.00,578.00
2020-03-11T24:00:00-07:00,468635.58,0,278269.00,0,519.68,0,247.00,0,349.00,0,0.00,0,520500.00,578.00
2020-03-12T24:00:00-07:00,471516.93,0,277653.00,0,519.50,0,56.00,0,349.00,0,0.00,0,520500.00,578.00
2020-03-13T24:00:00-07:00,474398.29,0,277653.00,0,519.50,0,284.00,0,241.00,0,0.00,0,520500.00,578.00
2020-03-14T24:00:00-07:00,477279.65,0,277721.00,0,519.52,0,315.00,0,253.00,0,0.00,0,520500.00,578.00
2020-03-15T24:00:00-07:00,480161.00,0,277618.00,0,519.49,0,220.00,0,260.00,0,0.19,0,520500.00,578.00
2020-03-16T24:00:00-07:00,483042.36,0,278097.00,0,519.63,0,692.00,0,440.00,0,1.13,0,520500.00,578.00
2020-03-17T24:00:00-07:00,485923.71,0,278269.00,0,519.68,0,413.00,0,314.00,0,0.00,0,520500.00,578.00
2020-03-18T24:00:00-07:00,488805.07,0,278645.00,0,519.79,0,467.00,0,260.00,0,0.08,0,520500.00,578.00
